publisher,dagger,book_review_link,author,primary_isbn10,price,primary_isbn13,sunday_review_link,contributor,first_chapter_link,date,title,age_group,weeks_on_list,num_words_in_title
"Little, Brown",0,,James Patterson and David Ellis,,0,9.78E+12,,by James Patterson and David Ellis,,8/31/14,INVISIBLE,NA,7,1
Scribner,0,,Stephen King,1476754462,0,9.78E+12,https://www.nytimes.com/2014/06/08/books/review/stephen-kings-mr-mercedes.html,by Stephen King,,8/3/14,MR. MERCEDES,NA,7,1
"Little, Brown",0,,James Patterson and Maxine Paetro,316211281,0,9.78E+12,,by James Patterson and Maxine Paetro,,7/6/14,UNLUCKY 13,NA,7,1
"Little, Brown",0,,James Patterson,316210927,0,9.78E+12,,by James Patterson,,2/2/14,CROSS MY HEART,NA,7,3
Grand Central,0,,David Baldacci,None,0,9.78E+12,,by David Baldacci,,1/19/14,KING AND MAXWELL,NA,7,3
Rachel Van Dyken,0,,Rachel Van Dyken,989078310,0,9.78E+12,,by Rachel Van Dyken,,6/2/13,THE BET,NA,7,1
Knopf Doubleday Publishing,0,,Maeve Binchy,None,0,9.78E+12,,by Maeve Binchy,,4/14/13,A WEEK IN WINTER,NA,7,4
Colleen Hoover,0,,Colleen Hoover,None,0,A00B00AQ3K8IU,,by Colleen Hoover,,2/24/13,HOPELESS,NA,7,1
Norton,0,,Neil Gaiman,039360909X,0,9.78E+12,,by Neil Gaiman,,4/2/17,NORSE MYTHOLOGY,NA,6,1
HarperCollins,0,,Paulo Coelho,62416219,0,9.78E+12,,by Paulo Coelho,,1/15/17,THE ALCHEMIST,NA,6,1
Bantam,0,,Janet Evanovich,345543009,0,9.78E+12,,by Janet Evanovich,,1/8/17,TURBO TWENTY-THREE,NA,6,3
Harlequin,0,,Nora Roberts,1459295366,0,9.78E+12,,by Nora Roberts,,12/11/16,UNFINISHED BUSINESS,NA,6,1
Dutton,0,,Harlan Coben,698411447,0,9.78E+12,,by Harlan Coben,,11/13/16,HOME,NA,6,1
Scribner,0,https://www.nytimes.com/2016/06/12/books/review/stephen-kings-end-of-watch.html,Stephen King,1501129740,0,9.78E+12,,by Stephen King,,7/31/16,END OF WATCH,NA,6,3
Dutton,0,,Harlan Coben,698404173,0,9.78E+12,,by Harlan Coben,,5/15/16,FOOL ME ONCE,NA,6,3
Emily Bestler/Atria,0,,Vince Flynn and Kyle Mills,1476783470,0,9.78E+12,,by Vince Flynn and Kyle Mills,,11/29/15,THE SURVIVOR,NA,6,1
Emily Bestler/Atria,0,,Brad Thor,1476717176,0,9.78E+12,,by Brad Thor,,8/30/15,CODE OF CONDUCT,NA,6,3
Harper,0,,Daniel Silva,,0,9.78E+12,,by Daniel Silva,,9/7/14,THE HEIST,NA,6,1
"Mulholland/Little, Brown",0,,Robert Galbraith,,0,9.78E+12,https://www.nytimes.com/2014/06/29/books/review/the-silkworm-by-j-k-rowling-as-robert-galbraith.html,by Robert Galbraith,,8/10/14,THE SILKWORM,NA,6,1
"Little, Brown",0,,James Patterson and Marshall Karp,316211249,0,9.78E+12,,by James Patterson and Marshall Karp,,5/18/14,NYPD RED 2,NA,6,3
Dutton,0,,Harlan Coben,698148630,0,9.78E+12,,by Harlan Coben,,5/11/14,MISSING YOU,NA,6,1
Dell,0,https://www.nytimes.com/2012/09/10/books/a-wanted-man-a-jack-reacher-novel-by-lee-child.html,Lee Child,440246318,0,9.78E+12,,by Lee Child,,6/23/13,A WANTED MAN,NA,6,3
"Little, Brown & Company",0,,Stephenie Meyer,316128651,0,9.78E+12,,by Stephenie Meyer,,4/28/13,THE HOST,NA,6,1
Simon & Schuster,0,,Vince Flynn,141659521X,0,9.78E+12,,by Vince Flynn,,1/6/13,THE LAST MAN,NA,6,3
"Little, Brown",0,,James Patterson and Michael Ledwidge,1455585300,0,9.78E+12,,by James Patterson and Michael Ledwidge,,3/12/17,BULLSEYE,NA,5,1
"Little, Brown",0,,James Patterson and Candice Fox,316433179,0,9.78E+12,,by James Patterson and Candice Fox,,3/5/17,NEVER NEVER,NA,5,1
Delacorte,0,,Danielle Steel,425285421,0,9.78E+12,,by Danielle Steel,,2/19/17,THE APARTMENT,NA,5,1
Putnam,0,,John Sandford,None,0,9.78E+12,,by John Sandford,,6/12/16,EXTREME PREY,NA,5,1
Random House,0,,Elizabeth Strout,812989074,0,9.78E+12,https://www.nytimes.com/2016/01/10/books/review/elizabeth-strouts-my-name-is-lucy-barton.html,by Elizabeth Strout,,2/28/16,MY NAME IS LUCY BARTON,NA,5,5
Morrow/HarperCollins,0,,Karin Slaughter,006242906X,0,9.78E+12,,by Karin Slaughter,,1/17/16,PRETTY GIRLS,NA,5,1
Harper/HarperCollins,0,,Mitch Albom,62294415,0,9.78E+12,,by Mitch Albom,,1/10/16,THE MAGIC STRINGS OF FRANKIE PRESTO,NA,5,6
