publisher,dagger,book_review_link,author,primary_isbn10,price,primary_isbn13,sunday_review_link,contributor,first_chapter_link,date,title,age_group,weeks_on_list,num_words_in_title
Harper,0,,Bernard Cornwell,62250744,0,9.78E+12,,by Bernard Cornwell,,1/25/15,THE EMPTY THRONE,NA,0,3
Deborah Bladon,0,,Deborah Bladon,None,0,9.78E+12,,by Deborah Bladon,,1/18/15,GONE - PART THREE,NA,0,3
Berkley,0,,Sylvia Day,None,0,9.78E+12,,by Sylvia Day,,1/18/15,CAPTIVATED BY YOU,NA,0,3
Deborah Bladon,0,,Deborah Bladon,None,0,9.78E+12,,by Deborah Bladon,,1/18/15,GONE - PART TWO,NA,0,3
Putnam,0,,Jack Higgins,None,0,9.78E+12,,by Jack Higgins,,1/18/15,RAIN ON THE DEAD,NA,0,4
Broadway,0,,Gillian Flynn,307341550,0,9.78E+12,,by Gillian Flynn,,1/11/15,SHARP OBJECTS,NA,0,1
Dutton,0,,Ken Follett,525953094,0,9.78E+12,,by Ken Follett,,1/4/15,EDGE OF ETERNITY,NA,0,3
Golden Unicorn Enterprises,0,,J S Scott and others,None,0,9.78E+12,,by J. S. Scott and others,,12/21/14,NAUGHTY & NICE,NA,0,1
Simon & Schuster,0,,Mary Higgins Clark and Alafair Burke,1476763127,0,9.78E+12,,by Mary Higgins Clark and Alafair Burke,,12/21/14,THE CINDERELLA MURDER,NA,0,3
Pocket Star,0,,J A Jance,1501103695,0,9.78E+12,,by J. A. Jance,,12/14/14,A LAST GOODBYE,NA,0,3
Grand Central,0,,Douglas Preston and Lincoln Child,1455525901,0,9.78E+12,,by Douglas Preston and Lincoln Child,,12/14/14,BLUE LABYRINTH,NA,0,1
Berkley,0,,Nora Roberts,698144546,0,9.78E+12,,by Nora Roberts,,12/14/14,BLOOD MAGICK,NA,0,1
Latin Goddess Press,0,,Milly Taiden,None,0,A00B00OVJKMTU,,by Milly Taiden,,12/14/14,CURVES 'EM RIGHT,NA,0,3
Carina Press,0,,Jaci Burton,1426899351,0,9.78E+12,,by Jaci Burton,,12/7/14,JACI BURTON THE KENT BROTHERS TRILOGY,NA,0,6
Bantam,0,,J Kenner,None,0,9.78E+12,,by J. Kenner,,11/23/14,HAVE ME,NA,0,1
"Little, Brown",0,,James Patterson and Michael Ledwidge,316211028,0,9.78E+12,,by James Patterson and Michael Ledwidge,,11/23/14,BURN,NA,0,1
Denise Grover Swank,0,,Denise Grover Swank,None,0,9.78E+12,,by Denise Grover Swank,,11/23/14,THIRTY-THREE AND A HALF SHENANIGANS,NA,0,6
Deborah Bladon,0,,Deborah Bladon,None,0,9.78E+12,,by Deborah Bladon,,11/23/14,RUIN: PART TWO,NA,0,3
Ellora's Cave,0,,Laurann Dohner,None,0,9.78E+12,,by Laurann Dohner,,11/16/14,SMILEY,NA,0,1
Jove,0,,Nalini Singh,None,0,9.78E+12,,by Nalini Singh,,11/16/14,ARCHANGEL'S SHADOWS,NA,0,3
Avon,0,,Ilona Andrews,62289241,0,9.78E+12,,by Ilona Andrews,,11/16/14,BURN FOR ME,NA,0,3
Lisa Renee Jones,0,,Lisa Renee Jones,None,0,A00B00O0CY3LQ,,by Lisa Renee Jones,,11/16/14,"TALL, DARK AND DEADLY BOOKS 1 - 4",NA,0,7
Pocket Books,0,,Jude Deveraux,None,0,9.78E+12,,by Jude Deveraux,,11/9/14,CHANGE OF HEART,NA,0,3
Putnam,0,,Stuart Woods,,0,9.78E+12,,by Stuart Woods,,11/2/14,PARIS MATCH,NA,0,1
"Little, Brown",0,,Elin Hilderbrand,None,0,9.78E+12,,by Elin Hilderbrand,,11/2/14,WINTER STREET,NA,0,1
Grand Central Publishing,0,,Jill Shalvis,None,0,9.78E+12,,by Jill Shalvis,,11/2/14,ONE IN A MILLION,NA,0,4
Kelley R. Martin,0,,Kelley R Martin,None,0,A00B00O13WW1W,,by Kelley R. Martin,,11/2/14,DOWN AND OUT,NA,0,3
Dell,0,,Diana Gabaldon,440335183,0,9.78E+12,,by Diana Gabaldon,,11/2/14,DRAGONFLY IN AMBER,NA,0,3
Avon,0,,Maya Banks,62312472,0,9.78E+12,,by Maya Banks,,10/26/14,KEEP ME SAFE,NA,0,3
"Farrar, Straus & Giroux",0,https://www.nytimes.com/2014/09/29/arts/in-lila-marilynne-robinson-gives-a-prequel-to-gilead.html,Marilynne Robinson,374187614,0,9.78E+12,https://www.nytimes.com/2014/10/05/books/review/lila-by-marilynne-robinson.html,by Marilynne Robinson,,10/26/14,LILA,NA,0,1
Jessica Sorensen,0,,Jessica Sorensen,None,0,A00B00I88BUTQ,,by Jessica Sorensen,,10/19/14,THE RESOLUTION OF CALLIE AND KAYDEN,NA,0,6
Broadway,0,,Gillian Flynn,None,0,9.78E+12,,by Gillian Flynn,,10/19/14,THE COMPLETE GILLIAN FLYNN,NA,0,4
Gossamer,0,,Melody Anne,None,0,9.78E+12,,by Melody Anne,,10/19/14,HOLIDAY TREASURE,NA,0,1
HTJB,0,,Marie Force,None,0,9.78E+12,,by Marie Force,,10/19/14,KISSES AFTER DARK,NA,0,3
Morrow,0,,J Lynn,62294814,0,9.78E+12,,by J. Lynn,,10/12/14,STAY WITH ME,NA,0,3
Putnam,0,,J D Robb,1101617276,0,9.78E+12,,by J. D. Robb,,10/12/14,FESTIVE IN DEATH,NA,0,3
Doubleday,0,https://www.nytimes.com/2013/10/31/books/sycamore-row-by-john-grisham.html,John Grisham,345543246,0,9.78E+12,https://www.nytimes.com/2013/11/10/books/review/sycamore-row-by-john-grisham.html,by John Grisham,,10/12/14,SYCAMORE ROW,NA,0,1
Plume,0,https://www.nytimes.com/2009/08/13/books/13maslin.html,Jonathan Tropper,None,0,9.78E+12,,by Jonathan Tropper,,10/12/14,THIS IS WHERE I LEAVE YOU,NA,0,6
Victoria Ashley,0,,Victoria Ashley,None,0,A00B00NKPJDIW,,by Victoria Ashley,,10/5/14,HEMY,NA,0,1
Riverhead,0,,Sarah Waters,,0,9.78E+12,https://www.nytimes.com/2014/09/21/books/review/the-paying-guests-by-sarah-waters.html,by Sarah Waters,,10/5/14,THE PAYING GUESTS,NA,0,3
Putnam,0,,Clive Cussler and Russell Blake,,0,9.78E+12,,by Clive Cussler and Russell Blake,,9/28/14,THE EYE OF HEAVEN,NA,0,4
Bantam,0,,J Kenner,080417671X,0,9.78E+12,,by J. Kenner,,9/28/14,IGNITED,NA,0,1
Morrow,0,,Faye Kellerman,,0,9.78E+12,,by Faye Kellerman,,9/21/14,MURDER 101,NA,0,1
Ace,0,,Patricia Briggs,1101609508,0,9.78E+12,,by Patricia Briggs,,9/21/14,SHIFTING SHADOWS,NA,0,1
Grand Central,0,,Jill Shalvis,1455529516,0,9.78E+12,,by Jill Shalvis,,9/14/14,IT'S IN HIS KISS,NA,0,5
Morrow,0,,Susan Elizabeth Phillips,62106112,0,9.78E+12,,by Susan Elizabeth Phillips,,9/14/14,HEROES ARE MY WEAKNESS,NA,0,4
Deborah Bladon,0,,Deborah Bladon,None,0,9.78E+12,,by Deborah Bladon,,9/14/14,VAIN - PART THREE,NA,0,3
Delacorte,0,,Lee Child,804178836,0,9.78E+12,,by Lee Child,,9/14/14,NOT A DRILL,NA,0,3
Knopf,0,,Paulo Coelho,1101874082,0,9.78E+12,,by Paulo Coelho,,9/7/14,ADULTERY,NA,0,1
Morrow/HarperCollins,0,,James Rollins,62194925,0,9.78E+12,,by James Rollins,,9/7/14,THE 6TH EXTINCTION,NA,0,3
Avon Impulse,0,,Laura Kaye,None,0,9.78E+12,,by Laura Kaye,,9/7/14,HARD TO HOLD ON TO,NA,0,5
Ballantine,0,,Debbie Macomber,None,0,9.78E+12,,by Debbie Macomber,,9/7/14,LOVE LETTERS,NA,0,1
Del Rey,0,,Robin Hobb,553392433,0,9.78E+12,,by Robin Hobb,,8/31/14,FOOL'S ASSASSIN,NA,0,3
Atria,0,,Colleen Hoover,None,0,9.78E+12,,by Colleen Hoover,,8/31/14,UGLY LOVE,NA,0,1
Angela Graham,0,,Angela Graham,None,0,A00B00M9ISBAW,,by Angela Graham,,8/31/14,INDESTRUCTIBLE,NA,0,1
Putnam,0,,W E B Griffin and William E Butterworth IV,,0,9.78E+12,,by W. E. B. Griffin and William E. Butterworth IV,,8/24/14,TOP SECRET,NA,0,1
Emily Bestler/Atria,0,,Brad Thor,,0,9.78E+12,,by Brad Thor,,8/24/14,ACT OF WAR,NA,0,3
Delacorte,0,,Danielle Steel,345530969,0,9.78E+12,,by Danielle Steel,,8/17/14,A PERFECT LIFE,NA,0,3
Putnam,0,,Mark Greaney,039917334X,0,9.78E+12,,by Mark Greaney,,8/17/14,TOM CLANCY: SUPPORT AND DEFEND,NA,0,5
Pocket,0,,Sandra Brown,743290062,0,9.78E+12,,by Sandra Brown,,8/10/14,CHILL FACTOR,NA,0,1
Putnam,0,,Catherine Coulter,,0,9.78E+12,,by Catherine Coulter,,8/10/14,POWER PLAY,NA,0,1
Uncommonly Romantic Books,0,,Opal Carew and others,None,0,A00B00L1HYMSW,,by Opal Carew and others,,8/10/14,MASTERED,NA,0,1
Dutton,0,,Brad Taylor,None,0,9.78E+12,,by Brad Taylor,,8/3/14,DAYS OF RAGE,NA,0,3
Atria,0,,Jennifer Weiner,1451617801,0,9.78E+12,,by Jennifer Weiner,,8/3/14,ALL FALL DOWN,NA,0,3
Putnam,0,,C J Box,,0,9.78E+12,,by C. J. Box,,8/3/14,SHOTS FIRED,NA,0,1
Delacorte,0,,Diana Gabaldon,044024644X,0,9.78E+12,,by Diana Gabaldon,,7/27/14,WRITTEN IN MY OWN HEART'S BLOOD,NA,0,7
Pamela Dorman/Viking,0,,Jojo Moyes,,0,9.78E+12,,by Jojo Moyes,,7/27/14,ONE PLUS ONE,NA,0,3
"Mulholland/Little, Brown",0,https://www.nytimes.com/2013/07/18/books/in-j-k-rowlings-cuckoos-calling-model-dies-but-why.html,Robert Galbraith,316206865,0,9.78E+12,,by Robert Galbraith,,7/27/14,THE CUCKOO'S CALLING,NA,0,4
Ace,0,,Anthony Ryan,,0,9.78E+12,,by Anthony Ryan,,7/20/14,TOWER LORD,NA,0,1
Deborah Bladon,0,,Deborah Bladon,,0,9.78E+12,,by Deborah Bladon,,7/20/14,PULSE - PART FOUR,NA,0,3
Ballantine,0,,Jude Deveraux,345541839,0,9.78E+12,,by Jude Deveraux,,7/20/14,FOR ALL TIME,NA,0,3
Harlequin Mira,0,,Ron Carr,,0,9.78E+12,,by Robyn Carr,,7/20/14,THE PROMISE,NA,0,1
Ampersand,0,,Kristen Pro,1633500012,0,9.78E+12,,by Kristen Proby,,7/13/14,BREATHE WITH ME,NA,0,3
Violet Duke,0,,Violet Duke,None,0,A00B00K8HWYOA,,by Violet Duke,,7/13/14,"LOVE, LAUGHTER, AND HAPPILY EVER AFTERS COLLECTION",NA,0,7
Ballantine,0,,Emily Giffin,034554689X,0,9.78E+12,,by Emily Giffin,,7/6/14,THE ONE AND ONLY,NA,0,4
Dutton,0,,Linda Fairstein,,0,9.78E+12,,by Linda Fairstein,,7/6/14,TERMINAL CITY,NA,0,1
Putnam,0,,John Sandford,None,0,9.78E+12,,by John Sandford,,7/6/14,FIELD OF PREY,NA,0,3
Morrow/HarperCollins,0,,J A Jance,62134698,0,9.78E+12,,by J. A. Jance,,7/6/14,SECOND WATCH,NA,0,1
Gallery,0,,Johanna Lindsey,1476714312,0,9.78E+12,,by Johanna Lindsey,,6/29/14,STORMY PERSUASION,NA,0,1
Putnam,0,,Clive Cussler and Graham Brown,,0,9.78E+12,,by Clive Cussler and Graham Brown,,6/29/14,GHOST SHIP,NA,0,1
Riverhead,0,,Emma Straub,1101618043,0,9.78E+12,,by Emma Straub,,6/29/14,THE VACATIONERS,NA,0,1
Morrow/HarperCollins,0,,Dorothea Benton Frank,62132520,0,9.78E+12,,by Dorothea Benton Frank,,6/29/14,THE HURRICANE SISTERS,NA,0,3
Morrow/HarperCollins,0,,Greg Iles,62311107,0,9.78E+12,,by Greg Iles,,6/29/14,NATCHEZ BURNING,NA,0,1
Simon & Schuster,0,,edited  David Baldacci,,0,9.78E+12,,edited by David Baldacci,,6/22/14,FACEOFF,NA,0,1
Berkley,0,,Marie Force,,0,9.78E+12,,by Marie Force,,6/22/14,I WANT TO HOLD YOUR HAND,NA,0,6
Harlequin HQN,0,,Linda Lael Miller,1460332962,0,9.78E+12,,by Linda Lael Miller,,6/15/14,THE MARRIAGE PACT,NA,0,3
Ballantine,0,,Steve Berry,None,0,9.78E+12,,by Steve Berry,,6/15/14,THE LINCOLN MYTH,NA,0,3
St. Martin's,0,,Darynda Jones,1466845260,0,9.78E+12,,by Darynda Jones,,6/8/14,SIXTH GRAVE ON THE EDGE,NA,0,5
Grand Central,0,,Jeffery Deaver,1455517119,0,9.78E+12,,by Jeffery Deaver,,6/8/14,THE SKIN COLLECTOR,NA,0,3
Viking,0,,Sue Monk Kidd,,0,9.78E+12,https://www.nytimes.com/2014/01/26/books/review/the-invention-of-wings-by-sue-monk-kidd.html,by Sue Monk Kidd,,6/8/14,THE INVENTION OF WINGS,NA,0,4
S.L. Jennings,0,,SL Jennings,None,0,A00B00KFUJX58,,by S.L. Jennings,,6/8/14,TAINT,NA,0,1
Lauren Blakely,0,,Lauren Blakely,None,0,A00B00JG8FMT6,,by Lauren Blakely,,6/1/14,AFTER THIS NIGHT,NA,0,3
Roc,0,,Jim Butcher,None,0,9.78E+12,,by Jim Butcher,,6/1/14,FOOL MOON,NA,0,1
Roc,0,,Jim Butcher,None,0,9.78E+12,,by Jim Butcher,,6/1/14,GRAVE PERIL,NA,0,1
Putnam,0,,Ace Atkins,,0,9.78E+12,,by Ace Atkins,,5/25/14,ROBERT B. PARKER'S CHEAP SHOT,NA,0,6
Ace,0,,Charlaine Harris,1101598794,0,9.78E+12,,by Charlaine Harris,,5/25/14,MIDNIGHT CROSSROAD,NA,0,1
Simon & Schuster,0,,Mary Higgins Clark,1476749108,0,9.78E+12,https://www.nytimes.com/2014/06/01/books/review/in-my-skin-by-brittney-griner.html,by Mary Higgins Clark,,5/18/14,I'VE GOT YOU UNDER MY SKIN,NA,0,7
Stacy Borel,0,,Stacy Borel,,0,A00B00JUC8DNK,,by Stacy Borel,,5/18/14,BENDER,NA,0,1
Laurelin Paige,0,,Laurelin Paige,991379640,0,9.78E+12,,by Laurelin Paige,,5/18/14,THE FIXED TRILOGY,NA,0,3
Berkley,0,,Nora Roberts,None,0,9.78E+12,,by Nora Roberts,,5/11/14,SHADOW SPELL,NA,0,1
HarperCollins Publishers,0,https://www.nytimes.com/2012/11/19/books/barbara-kingsolvers-flight-behavior.html,Barbara Kingsolver,62124285,0,9.78E+12,https://www.nytimes.com/2012/11/11/books/review/flight-behavior-by-barbara-kingsolver.html,by Barbara Kingsolver,,5/11/14,FLIGHT BEHAVIOR,NA,0,1
Putnam,0,,Stuart Woods,None,0,9.78E+12,,by Stuart Woods,,5/11/14,CARNAL CURIOSITY,NA,0,1
Lauren Blakely,0,,Lauren Blakely,None,0,A00B00JG8FKO8,,by Lauren Blakely,,5/4/14,NIGHT AFTER NIGHT,NA,0,3
J.B. Salsbury,0,,JB Salsbury,None,0,A00B00JBSJ4W2,,by  J.B. Salsbury,,5/4/14,FIGHTING TO FORGET,NA,0,3
Open Road Media,0,,Michael Ponsor,1480441929,0,9.78E+12,,by Michael Ponsor,,5/4/14,THE HANGING JUDGE,NA,0,3
Black Oak Books,0,,Shayla Black and Lexi Blake,None,0,9.78E+12,,by Shayla Black and Lexi Blake,,5/4/14,THEIR VIRGIN SECRETARY,NA,0,3
Touchstone,0,,Philippa Gregory,743298543,0,9.78E+12,,by Philippa Gregory,,4/27/14,THE BOLEYN INHERITANCE,NA,0,3
New American Library,0,,J R Ward,,0,9.78E+12,,by J. R. Ward,,4/27/14,THE KING,NA,0,1
WGW,0,,Whitney Gracia Williams,990317005,0,9.78E+12,,by Whitney Gracia Williams,,4/27/14,REASONABLE DOUBT,NA,0,1
Atlantic Monthly Press,0,,Donna Leon,802192505,0,9.78E+12,,by Donna Leon,,4/20/14,BY ITS COVER,NA,0,3
Morrow,0,,Ted Bell,62279408,0,9.78E+12,,by Ted Bell,,4/20/14,WARRIORS,NA,0,1
Delacorte,0,,Danielle Steel,None,0,9.78E+12,,by Danielle Steel,,4/20/14,POWER PLAY,NA,0,1
Minotaur,0,,Nevada Barr,1466841680,0,9.78E+12,,by Nevada Barr,,4/20/14,DESTROYER ANGEL,NA,0,1
St. Martin's Griffin,0,,Kylie Scott,None,0,9.78E+12,,by Kylie Scott,,4/20/14,PLAY,NA,0,1
Harlequin HQN,0,,Lori Foster,1460328639,0,9.78E+12,,by Lori Foster,,4/13/14,DASH OF PERIL,NA,0,3
Harlequin HQN,0,,Kristan Higgins,,0,9.78E+12,,by Kristan Higgins,,4/13/14,WAITING ON YOU,NA,0,3
Silhouette,0,,Nora Roberts,None,0,9.78E+12,,by Nora Roberts,,4/13/14,THE RETURN OF RAFE MACKADE,NA,0,5
Tyndale,0,,Joel C Rosenberg,,0,9.78E+12,,by Joel C. Rosenberg,,4/6/14,THE AUSCHWITZ ESCAPE,NA,0,3
InterMix,0,,Jennifer Ashley,None,0,9.78E+12,,by Jennifer Ashley,,4/6/14,FERAL HEAT,NA,0,1
Grand Central Publishing,0,,David Baldacci,1455557285,0,9.78E+12,,by David Baldacci,,4/6/14,BULLSEYE,NA,0,1
Ace,0,,Patricia Briggs,,0,9.78E+12,,by Patricia Briggs,,4/6/14,NIGHT BROKEN,NA,0,1
Putnam,0,,Clive Cussler and Justin Scott,698140737,0,9.78E+12,,by Clive Cussler and Justin Scott,,4/6/14,THE BOOTLEGGER,NA,0,1
Morrow,0,,Neil Gaiman,None,0,9.78E+12,https://www.nytimes.com/2001/07/29/books/books-in-brief-fiction-poetry-319619.html,by Neil Gaiman,,3/30/14,AMERICAN GODS,NA,0,1
Harlequin Mira,0,,Ron Carr,None,0,9.78E+12,,by Robyn Carr,,3/30/14,THE CHANCE,NA,0,1
Random House,0,,Anna Quindlen,812995759,0,9.78E+12,https://www.nytimes.com/2014/02/09/books/review/anna-quindlens-still-life-with-bread-crumbs.html,by Anna Quindlen,,3/30/14,STILL LIFE WITH BREAD CRUMBS,NA,0,5
Excessica,0,,Skye Eagleday,None,0,9.78E+12,,by Skye Eagleday,,3/30/14,"FATED MATES, THE ALPHA SHIFTER BOXED SET",NA,0,7
Putnam,0,,J D Robb,None,0,9.78E+12,,by J. D. Robb,,3/30/14,CONCEALED IN DEATH,NA,0,3
Tawny Weber,0,,Tawny Weber,None,0,9.78E+12,,by Tawny Weber,,3/23/14,LUCKY 7 BAD BOYS CONTEMPORARY ROMANCE BOXED SET,NA,0,8
Rachel Van Dyken,0,,Rachel Van Dyken,None,0,9.78E+12,,by Rachel Van Dyken,,3/23/14,TOXIC,NA,0,1
Steel Magnolia Press,0,,"Diane Capri, J Carson Black and others",None,0,A00B00IER9DK4,,"by Diane Capri, J Carson Black and others",,3/23/14,DEADLY DOZEN,NA,0,1
Putnam,0,,Randy Wayne White,,0,9.78E+12,,by Randy Wayne White,,3/23/14,BONE DEEP,NA,0,1
Raine Miller,0,,Raine Miller,None,0,A00B00HERLSLC,,by Raine Miller,,3/16/14,RARE AND PRECIOUS THINGS,NA,0,4
Avon,0,,Laura Kaye,62267914,0,9.78E+12,,by Laura Kaye,,3/16/14,HARD AS YOU CAN,NA,0,4
Harlequin Mira,0,,Susan Mallery,1460327047,0,9.78E+12,,by Susan Mallery,,3/16/14,EVENING STARS,NA,0,1
Signet,0,,Lisa Gardner,None,0,9.78E+12,,by Lisa Gardner,,3/16/14,TOUCH AND GO,NA,0,3
Helen Cooper,0,,JS Cooper and Helen Cooper,None,0,9.78E+12,,by J.S. Cooper and Helen Cooper,,3/9/14,THE EX GAMES 2,NA,0,4
Mariner,0,,Mark Helprin,547543867,0,9.78E+12,,by Mark Helprin,,3/9/14,WINTER'S TALE,NA,0,3
Helen Cooper,0,,JS Cooper and Helen Cooper,None,0,9.78E+12,,by J.S. Cooper and Helen Cooper,,3/9/14,THE EX GAMES 3,NA,0,4
Tor/Tom Doherty,0,,Orson Scott Card,142996393X,0,9.78E+12,,by Orson Scott Card,,3/9/14,ENDER'S GAME,NA,0,3
"Little, Brown",0,,James Patterson and Emily Raymond,316207020,0,9.78E+12,,by James Patterson and Emily Raymond,,3/2/14,FIRST LOVE,NA,0,1
Entangled: Brazen,0,,Tessa Bailey,None,0,9.78E+12,,by Tessa Bailey,,2/23/14,STAKING HIS CLAIM,NA,0,3
Berkley,0,,Jaci Burton,,0,9.78E+12,,by Jaci Burton,,2/23/14,MELTING THE ICE,NA,0,3
Putnam,0,,Tom Clancy with Mark Greaney,,0,9.78E+12,,by Tom Clancy with Mark Greaney,,2/16/14,COMMAND AUTHORITY,NA,0,1
Dutton,0,,Lisa Gardner,None,0,9.78E+12,,by Lisa Gardner,,2/16/14,FEAR NOTHING,NA,0,1
Kensington,0,,Joanne Fluke,None,0,9.78E+12,,by Joanne Fluke,,2/9/14,CHOCOLATE CHIP COOKIE MURDER,NA,0,4
St. Martin's Press,0,,Sarah Addison Allen,1250019818,0,9.78E+12,,by Sarah Addison Allen,,2/9/14,LOST LAKE,NA,0,1
"Little, Brown",0,https://www.nytimes.com/2013/12/09/books/mickey-haller-lincoln-lawyer-returns-in-gods-of-guilt.html,Michael Connelly,316069507,0,9.78E+12,,by Michael Connelly,,2/9/14,THE GODS OF GUILT,NA,0,4
Putnam,0,,Stuart Woods,None,0,9.78E+12,,by Stuart Woods,,2/9/14,STANDUP GUY,NA,0,1
Harper,0,,Mitch Albom,62294377,0,9.78E+12,,by Mitch Albom,,2/2/14,THE FIRST PHONE CALL FROM HEAVEN,NA,0,6
"Little, Brown",0,,Michael Connelly,None,0,9.78E+12,,by Michael Connelly,,2/2/14,SWITCHBLADE,NA,0,1
Bantam,0,,Janet Evanovich,345542908,0,9.78E+12,,by Janet Evanovich,,2/2/14,TAKEDOWN TWENTY,NA,0,1
Laurelin Paige,0,,Laurelin Paige,None,0,9.78E+12,,by Laurelin Paige,,2/2/14,FOREVER WITH YOU,NA,0,3
Bantam,0,,Dean Koontz,345539656,0,9.78E+12,,by Dean Koontz,,1/26/14,INNOCENCE,NA,0,1
Morrow,0,,J Lynn,62294768,0,9.78E+12,,by J. Lynn,,1/26/14,WAIT FOR YOU,NA,0,3
Forever,0,,Jessica Sorensen,None,0,9.78E+12,,by Jessica Sorensen,,1/26/14,THE DESTINY OF VIOLET & LUKE (CALLIE & KAYDEN),NA,0,8
Scribner,0,https://www.nytimes.com/2013/09/16/books/doctor-sleep-is-stephen-kings-sequel-to-the-shining.html,Stephen King,147672766X,0,9.78E+12,https://www.nytimes.com/2013/09/22/books/review/stephen-kings-shining-sequel-doctor-sleep.html,by Stephen King,,1/19/14,DOCTOR SLEEP,NA,0,1
Morrow,0,https://www.nytimes.com/2013/04/29/books/nos4a2-a-novel-by-joe-hill.html,Joe Hill,62200593,0,9.78E+12,,by Joe Hill,,1/19/14,NOS4A2,NA,0,1
Berkley,0,,Nora Roberts,None,0,9.78E+12,,by Nora Roberts,,1/19/14,DARK WITCH,NA,0,1
Riverhead,0,https://www.nytimes.com/2013/05/21/books/and-the-mountains-echoed-by-khaled-hosseini.html,Khaled Hosseini,None,0,9.78E+12,,by Khaled Hosseini,,1/12/14,AND THE MOUNTAINS ECHOED,NA,0,4
Dutton,0,,Harlan Coben,None,0,9.78E+12,,by Harlan Coben,,1/12/14,SIX YEARS,NA,0,1
Putnam,0,,Patricia Cornwell,None,0,9.78E+12,,by Patricia Cornwell,,1/5/14,DUST,NA,0,1
Random House,0,,George R R Martin,553582011,0,9.78E+12,,by George R. R. Martin,,1/5/14,A DANCE WITH DRAGONS,NA,0,4
Doubleday,0,https://www.nytimes.com/2012/10/18/books/the-racketeer-by-john-grisham.html,John Grisham,345530578,0,9.78E+12,,by John Grisham,,1/5/14,THE RACKETEER,NA,0,1
Laree Bailey Press,0,,H M Ward,None,0,9.78E+12,,by H. M. Ward,,12/29/13,THE ARRANGEMENT 12,NA,0,3
Bantam,0,,George R R Martin,345535537,0,9.78E+12,,by George R. R. Martin,,12/22/13,A GAME OF THRONES: FIVE-BOOK SET,NA,0,7
Avon,0,,Sarah MacLean,,0,9.78E+12,,by Sarah MacLean,,12/15/13,NO GOOD DUKE GOES UNPUNISHED,NA,0,5
Berkley,0,,Kay Hooper,None,0,9.78E+12,,by Kay Hooper,,12/15/13,HOSTAGE,NA,0,1
Kelly Elliott,0,,Kelly Elliott,None,0,9.78E+12,,by Kelly Elliott,,12/15/13,BROKEN,NA,0,1
"HTJB, Inc.",0,,Marie Force,None,0,9.78E+12,,by Marie Force,,12/8/13,MEANT FOR LOVE,NA,0,3
Putnam,0,,Clive Cussler with Jack Du Brul,,0,9.78E+12,,by Clive Cussler with Jack Du Brul,,12/8/13,MIRAGE,NA,0,1
Nicole Edwards,0,,Nicole Edwards,None,0,A00B00FYYPKMU,,by Nicole Edwards,,12/8/13,HOLIDAYS WITH THE WALKER BROTHERS,NA,0,5
Oak Press,0,,Bella Andre,None,0,9.78E+12,,by Bella Andre,,12/8/13,IT MUST BE YOUR LOVE,NA,0,5
Simon & Schuster,0,,Martin Cruz Smith,1439153183,0,9.78E+12,https://www.nytimes.com/2013/11/17/books/review/tatiana-by-martin-cruz-smith.html,by Martin Cruz Smith,,12/1/13,TATIANA,NA,0,1
Random House,0,,Fannie Flagg,1400065941,0,9.78E+12,,by Fannie Flagg,,12/1/13,THE ALL-GIRL FILLING STATION'S LAST REUNION,NA,0,8
Algonquin Books,0,,Caroline Leavitt,None,0,9.78E+12,,by Caroline Leavitt,,12/1/13,IS THIS TOMORROW,NA,0,3
Harper,0,,Wally Lamb,,0,9.78E+12,,by Wally Lamb,,12/1/13,WE ARE WATER,NA,0,3
Forever,0,,Kristen Ashley,None,0,9.78E+12,,by Kristen Ashley,,11/24/13,JAGGED,NA,0,1
Delacorte,0,,Danielle Steel,345539680,0,9.78E+12,,by Danielle Steel,,11/24/13,WINNERS,NA,0,1
Berkley,0,,Jill Shalvis,None,0,9.78E+12,,by Jill Shalvis,,11/24/13,RUMOR HAS IT,NA,0,3
Grand Central,0,,Scott Turow,,0,9.78E+12,https://www.nytimes.com/2013/10/20/books/review/scott-turows-identical.html,by Scott Turow,,11/24/13,IDENTICAL,NA,0,1
Laree Bailey Press,0,,H M Ward,1630350028,0,9.78E+12,,by H. M. Ward,,11/17/13,THE ARRANGEMENT 11,NA,0,3
Jove,0,,Nalini Singh,None,0,9.78E+12,,by Nalini Singh,,11/17/13,ARCHANGEL'S LEGION,NA,0,3
Putnam,0,,John Sandford,,0,9.78E+12,,by John Sandford,,11/17/13,STORM FRONT,NA,0,1
Harlequin HQN,0,,Kristan Higgins,None,0,9.78E+12,,by Kristan Higgins,,11/17/13,THE PERFECT MATCH,NA,0,3
William Morrow Impulse,0,,J Lynn,None,0,9.78E+12,,by  J. Lynn,,11/10/13,TRUST IN ME,NA,0,3
Forever,0,,Rachel Van Dyken,None,0,9.78E+12,,by Rachel Van Dyken,,11/10/13,THE WAGER,NA,0,1
Knopf,0,,Helen Fielding,385350872,0,9.78E+12,,by Helen Fielding,,11/10/13,BRIDGET JONES: MAD ABOUT THE BOY,NA,0,6
Viking,0,https://www.nytimes.com/2013/09/30/books/elizabeth-gilberts-novel-the-signature-of-all-things.html,Elizabeth Gilbert,None,0,9.78E+12,https://www.nytimes.com/2013/09/29/books/review/elizabeth-gilberts-signature-of-all-things.html,by Elizabeth Gilbert,,11/3/13,THE SIGNATURE OF ALL THINGS,NA,0,5
