publisher,dagger,book_review_link,author,primary_isbn10,price,primary_isbn13,sunday_review_link,contributor,date,title,weeks_on_list,num_words_in_title
Morrow,0,,Faye Kellerman,62425250,0,9.78E+12,,by Faye Kellerman,3/19/17,BONE BOX,1,1
Mira,0,,Susan Mallery,146039643X,0,9.78E+12,,by Susan Mallery,3/19/17,A MILLION LITTLE THINGS,1,4
EverAfter Romance,0,,Tijan,None,0,A00B06XBVL7Q2,,by Tijan,3/19/17,COLE,1,1
Kensington,0,,Joanne Fluke,1617732214,0,9.78E+12,,by Joanne Fluke,3/19/17,BANANA CREAM PIE MURDER,1,4
Valkyrie,0,,Kresley Cole,997215186,0,9.78E+12,,by Kresley Cole,3/19/17,SHADOW'S SEDUCTION,1,3
Avon,0,,Lisa Kleypas,62371908,0,9.78E+12,,by Lisa Kleypas,3/12/17,DEVIL IN SPRING,1,3
Del Rey,0,,Chuck Wendig,1101966963,0,9.78E+12,,by Chuck Wendig,3/12/17,AFTERMATH:: EMPIRE'S END,1,4
Mira,0,,Pam Jenoff,778319814,0,9.78E+12,,by Pam Jenoff,3/12/17,THE ORPHAN'S TALE,1,4
Waterhouse Press,0,,Helen Hardt,None,0,A00B01LBPLEG6,,by Helen Hardt,3/5/17,BURN,1,1
Berkley,0,,Mark Greaney,698406850,0,9.78E+12,,by Mark Greaney,3/5/17,GUNMETAL GRAY,1,1
Jove,0,,Mary Balogh,698411390,0,9.78E+12,,by Mary Balogh,2/26/17,SOMEONE TO HOLD,1,3
Dial,0,,Sophie Kinsella,812998278,0,9.78E+12,,by Sophie Kinsella,2/26/17,MY NOT SO PERFECT LIFE,1,5
Avon,0,,Eloisa James,62389467,0,9.78E+12,,by Eloisa James,2/19/17,SEVEN MINUTES IN HEAVEN,1,4
Golden Unicorn Enterprises,0,,J S Scott,1939962676,0,9.78E+12,,by J. S. Scott,2/19/17,BILLIONAIRE UNKNOWN,1,1
Berkley,0,,Jodi Picoult,None,0,9.78E+12,,by Jodi Picoult,2/19/17,PICTURE PERFECT,1,1
Avon,0,,Lynsay Sands,62273620,0,9.78E+12,,by Lynsay Sands,2/19/17,FALLING FOR THE HIGHLANDER,1,4
Zebra,0,,Kat Martin,1420139053,0,9.78E+12,,by Kat Martin,2/19/17,INTO THE FIRESTORM,1,3
Berkley,0,,Christine Feehan,None,0,9.78E+12,,by Christine Feehan,2/12/17,POWER GAME,1,1
genreCrave,0,,Gwynn White and various authors,None,0,A00B01MCYGPQM,,by Gwynn White and various authors,2/12/17,DARK HUMANITY,1,1
Avon,0,,Jill Shalvis,62448072,0,9.78E+12,,by Jill Shalvis,2/12/17,ACCIDENTALLY ON PURPOSE,1,3
Delacorte,0,,Karen Marie Moning,425284360,0,9.78E+12,,by Karen Marie Moning,2/5/17,FEVERSONG,1,1
EverAfter Romance,0,,Vi Keeland,1942215568,0,9.78E+12,,by Vi Keeland,2/5/17,EGOMANIAC,1,1
Romig Works,0,,Aleatha Romig,996839445,0,9.78E+12,,by Aleatha Romig,2/5/17,FIDELITY,1,1
Lauren Blakely,0,,Lauren Blakely,None,0,A00B01MT5HMRV,,by Lauren Blakely,1/29/17,FULL PACKAGE,1,1
Dutton,0,,Brad Taylor,None,0,9.78E+12,,by Brad Taylor,1/29/17,RING OF FIRE,1,3
Berkley,0,,Karen White,,0,9.78E+12,,by Karen White,1/29/17,THE GUESTS ON SOUTH BATTERY,1,5
Ballantine,0,,Kristin Hannah,345459504,0,9.78E+12,,by Kristin Hannah,1/22/17,DISTANT SHORES,1,1
Berkley,0,,Catherine Anderson,451488024,0,9.78E+12,,by Catherine Anderson,1/22/17,MULBERRY MOON,1,1
Henry Holt,0,https://www.nytimes.com/2016/04/17/books/review/the-north-water-by-ian-mcguire.html,Ian McGuire,1627795952,0,9.78E+12,,by Ian McGuire,1/22/17,THE NORTH WATER,1,3
Zebra,0,,Fern Michaels,None,0,9.78E+12,,by Fern Michaels,1/15/17,CRASH AND BURN,1,3
Waterhouse,0,,Helen Hardt,None,0,A00B01HFPDRI4,,by Helen Hardt,1/8/17,MELT,1,1
Morrow/HarperCollins,0,,James Rollins,62381709,0,9.78E+12,,by James Rollins,1/1/17,THE SEVENTH PLAGUE,1,3
Ballantine,0,,J R Ward,698193288,0,9.78E+12,,by J. R. Ward,12/25/16,BLOOD VOW,1,1
Knopf,0,,Anne Rice,385353790,0,9.78E+12,,by Anne Rice,12/18/16,PRINCE LESTAT AND THE REALMS OF ATLANTIS,1,7
Harper,0,,Bernard Cornwell,62250825,0,9.78E+12,,by Bernard Cornwell,12/18/16,THE FLAME BEARER,1,3
Random House,0,,Fannie Flagg,140006595X,0,9.78E+12,,by Fannie Flagg,12/18/16,THE WHOLE TOWN'S TALKING,1,5
Del Rey,0,,James Luceno,345511492,0,9.78E+12,,by James Luceno,12/4/16,CATALYST,1,1
Simon & Schuster,0,,Richard Paul Evans,1501119818,0,9.78E+12,,by Richard Paul Evans,12/4/16,THE MISTLETOE SECRET,1,3
St. Martin's,0,,Jeffrey Archer,1466867515,0,9.78E+12,,by Jeffrey Archer,11/27/16,THIS WAS A MAN,1,4
Jove,0,,Christine Feehan,None,0,9.78E+12,,by Christine Feehan,11/27/16,LEOPARD'S FURY,1,3
Signet,0,,Mary Balogh,451477790,0,9.78E+12,,by Mary Balogh,11/27/16,SOMEONE TO LOVE,1,3
Tor,0,,David Weber,1429952113,0,9.78E+12,,by David Weber,11/27/16,AT THE SIGN OF TRIUMPH,1,5
Avon Impulse,0,,Jill Shalvis,006246356X,0,9.78E+12,,by Jill Shalvis,11/27/16,ONE SNOWY NIGHT,1,3
Berkley,0,,Nalini Singh,,0,9.78E+12,,by Nalini Singh,11/20/16,ARCHANGEL'S HEART,1,3
BAAE,0,,Corinne Michaels,1942834209,0,9.78E+12,,by Corinne Michaels,11/20/16,SAY YOU WANT ME,1,4
Morrow/HarperCollins,0,,Allison Brennan,1250105102,0,9.78E+12,,by Allison Brennan,11/20/16,THE LOST GIRLS,1,3
"Little, Brown",0,,James Patterson and Jeffrey J Keyes,316361534,0,9.78E+12,,by James Patterson and Jeffrey J. Keyes,11/20/16,KILLER CHEF,1,1
Putnam,0,,Stuart Woods,None,0,9.78E+12,,by Stuart Woods,11/13/16,"SEX, LIES  AND SERIOUS MONEY",1,5
Orbit,0,,Brent Weeks,316251313,0,9.78E+12,,by Brent Weeks,11/13/16,THE BLOOD MIRROR,1,3
Howard Books,0,,Karen Kingsbury,1451687567,0,9.78E+12,,by Karen Kingsbury,11/13/16,A BAXTER FAMILY CHRISTMAS,1,4
DLZ Entertainment,0,,Lexi Blake,1937608530,0,9.78E+12,,by Lexi Blake,11/13/16,SUBMISSION IS NOT ENOUGH,1,4
St. Martin's,0,,Iris Johansen and Roy Johansen,1466887338,0,9.78E+12,,by Iris Johansen and Roy Johansen,11/13/16,NIGHT WATCH,1,1
Lauren Blakely,0,,Lauren Blakely,None,0,A00B01M9BU7A1,,by Lauren Blakely,11/6/16,THE SEXY ONE,1,3
Emma Chase,0,,Emma Chase,997426225,0,9.78E+12,,by Emma Chase,11/6/16,ROYALLY SCREWED,1,1
Berkley,0,,Laurell K Hamilton,None,0,9.78E+12,,by Laurell K. Hamilton,10/30/16,CRIMSON DEATH,1,1
Pantheon,0,,Alexander McCall Smith,1101871369,0,9.78E+12,,by Alexander McCall Smith,10/30/16,PRECIOUS AND GRACE,1,3
Ballantine,0,,Debbie Macomber,553391747,0,9.78E+12,,by Debbie Macomber,10/23/16,TWELVE DAYS OF CHRISTMAS,1,4
"Little, Brown",0,,Elin Hilderbrand,316261157,0,9.78E+12,,by Elin Hilderbrand,10/23/16,WINTER STORMS,1,1
Putnam,0,,WEB Griffin and William E Butterworth,None,0,9.78E+12,,by W.E.B. Griffin and William E. Butterworth,10/23/16,BROKEN TRUST,1,1
Waterhouse,0,,Helen Hardt,None,0,A00B01EIJC2U4,,by Helen Hardt,10/16/16,POSSESSION,1,1
Elle Kennedy,0,,Elle Kennedy,None,0,9.78E+12,,by Elle Kennedy,10/16/16,THE GOAL,1,1
HQN,0,,RaeAnne Thayne,1459294947,0,9.78E+12,,by RaeAnne Thayne,10/16/16,SNOWFALL ON HAVEN POINT,1,4
Mira,0,,Heather Graham,1460395921,0,9.78E+12,,by Heather Graham,10/16/16,DARKEST JOURNEY,1,1
Kensington,0,,Joanne Fluke,161773229X,0,9.78E+12,,by Joanne Fluke,10/16/16,CHRISTMAS CARAMEL MURDER,1,3
Mira,0,,Ron Carr,1460395956,0,9.78E+12,,by Robyn Carr,10/16/16,THE LIFE SHE WANTS,1,4
Ace,0,,Ilona Andrews,None,0,9.78E+12,,by Ilona Andrews,10/9/16,MAGIC BINDS,1,1
Avon/HarperCollins,0,,Lynsay Sands,62316079,0,9.78E+12,,by Lynsay Sands,10/9/16,IMMORTAL NIGHTS,1,1
Random House,0,,Alan Bradley,345539982,0,9.78E+12,,by Alan Bradley,10/9/16,THRICE THE BRINDED CAT HATH MEW'D,1,7
Putnam,0,,Amy Tan,None,0,9.78E+12,,by Amy Tan,10/9/16,THE BONESETTER'S DAUGHTER,1,4
Viking,0,,Craig Johnson,None,0,9.78E+12,,by Craig Johnson,10/2/16,AN OBVIOUS FACT,1,3
Lauren Blakely,0,,Lauren Blakely,None,0,A00B01LYRXJ0I,,by Lauren Blakely,10/2/16,WELL HUNG,1,1
Putnam,0,,Reed Farrel Coleman,None,0,9.78E+12,,by Reed Farrel Coleman,10/2/16,ROBERT B. PARKER'S DEBT TO PAY,1,7
Nan A. Talese/Doubleday,0,https://www.nytimes.com/2016/09/11/books/review/ian-mcewan-nutshell.html,Ian McEwan,385542070,0,9.78E+12,,by Ian McEwan,10/2/16,NUTSHELL,1,1
Morrow/HarperCollins,0,,J A Jance,62297732,0,9.78E+12,,by J. A. Jance,9/25/16,DOWNFALL,1,1
Berkley,0,,Clare Mackintosh,None,0,9.78E+12,,by  Clare Mackintosh,9/25/16,I LET YOU GO,1,4
BookShots,0,,James Patterson with Max DiLallo,316361526,0,9.78E+12,,by James Patterson with Max DiLallo,9/25/16,113 MINUTES,1,1
"Farrar, Straus & Giroux",0,https://www.nytimes.com/2016/09/11/books/review/jonathan-safran-foer-here-i-am.html,Jonathan Safran Foer,374280029,0,9.78E+12,,by Jonathan Safran Foer,9/25/16,HERE I AM,1,3
HQN,0,,Linda Lael Miller,1460394135,0,9.78E+12,,by Linda Lael Miller,9/18/16,ALWAYS A COWBOY,1,3
Zebra,0,,Fern Michaels,1420140647,0,9.78E+12,,by Fern Michaels,9/18/16,FAST AND LOOSE,1,3
Avon,0,,Sarah MacLean,62379445,0,9.78E+12,,by Sarah MacLean,9/18/16,A SCOT IN THE DARK,1,5
Simon & Schuster,0,,James Lee Burke,1501107488,0,9.78E+12,,by James Lee Burke,9/18/16,THE JEALOUS KIND,1,3
HarperCollins,0,,Susan Elizabeth Phillips,62405632,0,9.78E+12,,by Susan Elizabeth Phillips,9/11/16,FIRST STAR I SEE TONIGHT,1,5
Ballantine,0,,Kristin Hannah,345459520,0,9.78E+12,,by Kristin Hannah,9/11/16,SUMMER ISLAND,1,1
Avon,0,,Maya Banks,62410172,0,9.78E+12,,by Maya Banks,9/11/16,WITH EVERY BREATH,1,3
St. Martin's,0,,Lisa Scottoline,1250099633,0,9.78E+12,,by Lisa Scottoline,9/4/16,DAMAGED,1,1
